"ApplicationName";"ApplicationId";"OwnerObjectId";"OwnerDisplayName";"UserPrincipalName";"CreatedDateTime";"UserType";"AccountEnabled"
"Salesforce";"19830d1e-6303-4bfc-835a-3fa0bade5866";"NO OWNER";"-";"-";"-";"-";"-"
"Box";"0fbb59fd-8881-496a-8729-316b4c2c620b";"NO OWNER";"-";"-";"-";"-";"-"
"BrowserStack";"72edec36-c68f-4055-9cc1-4a9eeee0ccab";"NO OWNER";"-";"-";"-";"-";"-"
"LinkedIn";"3f0aec36-7ba4-4373-bc73-fee57f2b3ac0";"NO OWNER";"-";"-";"-";"-";"-"
"ExchangeOnlineApp";"32620f65-d8de-4eaa-8563-735d855d2984";"NO OWNER";"-";"-";"-";"-";"-"
